0,140
0,109
1,146
1,124
2,123
2,147
3,136
3,22
4,118
4,79
5,9
5,58
6,112
6,36
7,93
7,134
8,20
8,103
9,55
10,34
10,106
11,42
11,138
12,34
12,127
13,121
13,77
14,116
14,135
15,108
15,142
16,64
16,47
17,84
18,38
18,118
19,90
19,83
20,49
21,90
21,100
22,144
22,74
23,149
23,86
24,113
24,37
25,92
25,53
26,48
26,119
27,116
27,69
28,112
28,74
28,114
28,79
29,145
29,49
30,106
30,47
31,65
31,107
32,66
32,62
33,108
33,86
35,84
35,117
36,43
36,101
37,80
37,150
38,76
39,130
39,125
40,120
40,113
41,96
41,130
42,63
43,94
44,88
44,124
45,128
45,141
45,87
46,96
46,60
48,81
50,132
50,55
51,80
51,117
52,83
52,133
53,69
54,125
54,71
56,68
56,127
57,58
57,85
59,104
59,77
59,87
60,97
61,145
61,67
62,110
63,104
64,105
65,122
66,84
67,81
68,148
70,72
71,73
72,76
73,143
75,141
75,150
78,139
78,93
82,102
82,143
84,146
85,131
88,151
89,102
89,95
90,122
91,120
91,147
92,134
94,143
95,121
97,135
98,105
98,139
99,129
99,140
100,132
101,126
103,107
109,111
110,111
114,133
115,129
115,149
119,148
123,137
126,131
128,151
136,142
137,138
144,151
